question,answer
"Buongiorno, pensavo di aver eliminato L iCloud Il problema adesso ¨¦ che non ricordo pi¨´ la password e nemmeno L id Apple, come faccio? 
Non vorrei un altro cellulare. Vorrei il reso?Grazie mille","Gentile cliente, possiamo rimborsarti, ma devi rimuovere laccount iCloud o il telefono ¨¨ inutile. E vogliamo inviarti uno screenshot del tuo account iCloud, ma il telefono non pu¨° accendersi, quindi solo tu puoi gestirlo. Prova a ricordarlo e rimuoverlo dal tuo computer. Grazie per il tuo supporto~
E sappiamo che il tuo telefono non pu¨° essere acceso. Quindi forse non puoi disattivare il tuo account iCloud sul tuo telefono. Segui le istruzioni per uscire dal tuo account iCloud con un laptop o un computer. Non ¨¨ necessario disporre di un telefono, ¨¨ sufficiente utilizzare un computer o un laptop. 1. Vai alla pagina: https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/fb252502-db54-3fbe-8a8d-8549144869a5?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=Z0BKMAP5Xzz1N6NSkbCKCF0VtuvqYk5XAhz871OM5R6c9dFXALKxnFMeF8tv3KCNt2rBzkvV1sDWTjLRLvLm2g&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 e accedi allaccount iCloud a cui era connesso il tuo dispositivo. 2. Se lautenticazione a due fattori ¨¨ abilitata, dovresti ricevere un codice di verifica sui tuoi dispositivi attendibili. In caso contrario, inserisci la scheda SIM in un nuovo dispositivo e fai clic su ""Non hai ricevuto un codice?"" quindi ""Inviami un SMS"". 3. Fai clic su ""Cerca"" Se non vedi lapp ""Cerca"", significa che non hai effettuato laccesso allaccount iCloud corretto; verifica che sia effettivamente lID Apple utilizzato per il tuo dispositivo. 4. Fai clic su ""Tutti i miei dispositivi"" nella parte superiore della finestra. Se non vedi ""Tutti i miei dispositivi"", significa che hai gi¨¤ selezionato un dispositivo. Fare clic sul nome del dispositivo corrente al centro della barra degli strumenti per accedere allelenco Dispositivi, quindi selezionare un altro dispositivo. 5. Selezionare il dispositivo Apple che si desidera disconnettere, dovrebbe essere offline (con un punto grigio a sinistra). Un dispositivo ¨¨ considerato offline se ¨¨ spento o disconnesso da qualsiasi rete Internet. 6. Fai clic su ""Rimuovi dallaccount"". Se non vedi il pulsante ""Rimuovi dallaccount"", assicurati di disconnettere il dispositivo (spegnilo). 7. Apple ti chiede di confermare la rimozione del dispositivo. Fare clic su ""Elimina"". Infine, Apple ti chiede di inserire la password per convalidare leliminazione. Inserisci la tua password e clicca su ""Elimina"". In questo modo, uscirai correttamente dal tuo account iCloud sul dispositivo. Grazie mille per il vostro sostegno."
"Okay, cerco di ricordarlo poi vi faccio sapere.Grazie","Ok, aspetteremo tue buone notizie!"
"je viens douvrir le colis et le t¨¦l¨¦phone est arriv¨¦ endommag¨¦, l¨¦cran la fa?ade avant est d¨¦coll¨¦ !!! ","Cher client,Nous sommes d¨¦sol¨¦s dapprendre cela. Afin de mener des enqu¨ºtes logistiques. Veuillez nous envoyer les informations suivantes : 1. Photo de lemballage du produit (externe et interne), les ¨¦tiquettes du produit sont visibles sur lemballage. 2. Le num¨¦ro IMEI du t¨¦l¨¦phone que vous avez re?u. Vous pouvez trouver lIMEI dans Param¨¨tres - G¨¦n¨¦ral - Info. Ce nest pas grave si vous nous envoyez une capture d¨¦cran de cette page. 3. Le colis ¨¦tait-il intact lorsque vous lavez re?u ? Nous attendons votre r¨¦ponse.
Cher client,Veuillez nous envoyer les photos de lappareil pour vous prot¨¦ger de tout litige, ¨¦cran de photos allum¨¦ et ¨¦teint et couverture arri¨¨re avant exp¨¦dition. Veuillez trouver l¨¦tiquette dexp¨¦dition gratuite ci-jointe.Veuillez suivre attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner lappareil.1. D¨¦sactivez CODE LOCK si votre appareil en poss¨¨de un ou notez-le sur une feuille de papier et mettez-le dans la bo?te.2. DISSOCIEZ votre compte ICLOUD. Si un compte iCloud est connect¨¦ sur le t¨¦l¨¦phone renvoy¨¦, cela ralentira votre processus dassistance. Si vous ne parvenez pas ¨¤ vous d¨¦connecter du compte iCloud, veuillez nous en informer.3. Enregistrez vos donn¨¦es et retirez la carte SIM.4. Ensuite, vous pouvez emballer le produit. Utilisez un emballage suffisamment SOLIDE et tous les accessoires re?us doivent ¨ºtre retourn¨¦s ensemble. Veuillez emballer soigneusement le produit pour vous prot¨¦ger de tout litige.5. Imprimez l¨¦tiquette dexp¨¦dition sur le colis.6. Vous pouvez livrer le colis ¨¤ ladresse suivante :1 rue de Lattre de Tassigny88640 GRANGES AUMONTZEY FranceSi cette adresse ne vous convient pas, vous pouvez consulter sur le site du transporteur la liste des points de livraison ¨¤ proximit¨¦.Une fois que nous recevons votre produit retourn¨¦ et quil r¨¦pond aux exigences, nous vous enverrons le remplacement dans les 48 heures ouvrables.Nous nous excusons ¨¤ nouveau pour la g¨ºne occasionn¨¦e et vous remercions de votre compr¨¦hension.Attendre une r¨¦ponse!"
"Cher client,
Veuillez nous envoyer les photos de l'appareil pour vous prot¨¦ger de tout litige, ¨¦cran de photos allum¨¦ et ¨¦teint et couverture arri¨¨re avant exp¨¦dition. Veuillez trouver l'¨¦tiquette d'exp¨¦dition gratuite ci-jointe.
Veuillez suivre attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner l'appareil.
1. D¨¦sactivez CODE LOCK si votre appareil en poss¨¨de un ou notez-le sur une feuille de papier et mettez-le dans la bo?te.
2. DISSOCIEZ votre compte ICLOUD. Si un compte iCloud est connect¨¦ sur le t¨¦l¨¦phone renvoy¨¦, cela ralentira votre processus d'assistance. Si vous ne parvenez pas ¨¤ vous d¨¦connecter du compte iCloud, veuillez nous en informer.
3. Enregistrez vos donn¨¦es et retirez la carte SIM.
4. Ensuite, vous pouvez emballer le produit. Utilisez un emballage suffisamment SOLIDE et tous les accessoires re?us doivent ¨ºtre retourn¨¦s ensemble. Veuillez emballer soigneusement le produit pour vous prot¨¦ger de tout litige.
5. Imprimez l'¨¦tiquette d'exp¨¦dition sur le colis.
6. Vous pouvez livrer le colis ¨¤ l'adresse suivante :1 rue de Lattre de Tassigny
88640 GRANGES AUMONTZEY France
Si cette adresse ne vous convient pas, vous pouvez consulter sur le site du transporteur la liste des points de livraison ¨¤ proximit¨¦.
Une fois que nous recevons votre produit retourn¨¦ et qu'il r¨¦pond aux exigences, nous vous enverrons le remplacement dans les 48 heures ouvrables.
Nous nous excusons ¨¤ nouveau pour la g¨ºne occasionn¨¦e et vous remercions de votre compr¨¦hension.
Attendre une r¨¦ponse! 
Envoy¨¦ ¨¤ partir de Outlook pour Android<[link removed]>________________________________From: ECOMMUNITY - Marketplace dAmazon.fr <[adresse ¨¦lectronique supprim¨¦e]>Sent: Saturday, June 10, 2023 3:49:43 AMTo: [adresse ¨¦lectronique supprim¨¦e] <[adresse ¨¦lectronique supprim¨¦e]>Subject: Article endommag¨¦ ou d¨¦fectueux : Demander un article de remplacement(Commande : 402-8767541-1183505)Vous avez re?u un message de la part du vendeur Amazon ¡ª ECOMMUNITYNum¨¦ro de la commande: 402-8767541-1183505Total   Nom du produit et ASIN1       [product image]         Apple iPhone 11 Pro 256Go Vert Nuit (Reconditionn¨¦)ASIN: B082DJNRLDCher client,Veuillez nous envoyer les photos de lappareil pour vous prot¨¦ger de tout litige, ¨¦cran de photos allum¨¦ et ¨¦teint et couverture arri¨¨re avant exp¨¦dition. Veuillez trouver l¨¦tiquette dexp¨¦dition gratuite ci-jointe.Veuillez suivre attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner lappareil.1. D¨¦sactivez CODE LOCK si votre appareil en poss¨¨de un ou notez-le sur une feuille de papier et mettez-le dans la bo?te.2. DISSOCIEZ votre compte ICLOUD. Si un compte iCloud est connect¨¦ sur le t¨¦l¨¦phone renvoy¨¦, cela ralentira votre processus dassistance. Si vous ne parvenez pas ¨¤ vous d¨¦connecter du compte iCloud, veuillez nous en informer.3. Enregistrez vos donn¨¦es et retirez la carte SIM.4. Ensuite, vous pouvez emballer le produit. Utilisez un emballage suffisamment SOLIDE et tous les accessoires re?us doivent ¨ºtre retourn¨¦s ensemble. Veuillez emballer soigneusement le produit pour vous prot¨¦ger de tout litige.5. Imprimez l¨¦tiquette dexp¨¦dition sur le colis.6. Vous pouvez livrer le colis ¨¤ ladresse suivante :1 rue de Lattre de Tassigny88640 GRANGES AUMONTZEY FranceSi cette adresse ne vous convient pas, vous pouvez consulter sur le site du transporteur la liste des points de livraison ¨¤ proximit¨¦.Une fois que nous recevons votre produit retourn¨¦ et quil r¨¦pond aux exigences, nous vous enverrons le remplacement dans les 48 heures ouvrables.Nous nous excusons ¨¤ nouveau pour la g¨ºne occasionn¨¦e et vous remercions de votre compr¨¦hension.Attendre une r¨¦ponse!Ceci a-t-il r¨¦solu votre probl¨¨me?Droits dauteur 2023 Amazon, Inc. ou ses filiales. Tous droits r¨¦serv¨¦s. Amazon Services Europe S.¨¤ r.l.5 Rue PlaetisL-2338 LuxembourgEnregistr¨¦ au Luxembourg sous la r¨¦f¨¦rence B-93815Capital Social 12.500 EURNum¨¦ro d¡¯autorisation d¨¦tablissement: 100416Num¨¦ro d¡¯identification ¨¤ TVA luxembourgeoise : LU 19647148Important : Lorsque vous r¨¦pondez ¨¤ ce message, Amazon.fr remplace votre adresse ¨¦lectronique par une adresse fournie par Amazon.fr, ce afin de prot¨¦ger votre identit¨¦, et transmet ce message de votre part. Amazon.fr filtre tous les messages avant de les transmettre au vendeur pour identifier des fraudes potentielles. Les messages bloqu¨¦s par ce filtre ne sont pas transmis. Amazon.fr garde une copie de tous les courriels envoy¨¦s et re?us par le biais de ce service, y compris ce message, qui pourront ¨ºtre utilis¨¦s en particulier dans le cadre de demande de Garantie A ¨¤ Z. En utilisant ce service, vous acceptez ces conditions.[commMgrTok:A050891934A4NKLLGC6S9]","Cher client,Merci pour vos informations! Une fois que vous avez exp¨¦di¨¦ le t¨¦l¨¦phone, veuillez nous le faire savoir."
daccord je le renvoi aujourdhui ,"Cher client, Merci pour vos informations ! Nous suivrons le colis et vous informerons d¨¨s que nous le recevrons. ¨¤ bient?t ! Chaleureusement?"
Le colis ¨¤ ¨¦t¨¦ d¨¦pos¨¦ hier. Comment va se passer la proc¨¦dure de remboursement ensuite ? Merci  ,"Cher client,Nous vous rembourserons apr¨¨s r¨¦ception sans probl¨¨me. A bient?t !"
daccord le colis retour devrais ¨ºtre livr¨¦ aujourdhui !,"Cher client,Jesp¨¨re que tu vas bien aujourdhui ! Selon la logistique, le colis a ¨¦t¨¦ livr¨¦. Nous v¨¦rifierons aupr¨¨s de notre entrep?t et vous proposerons une solution dans les 48 heures ouvrables. ¨¤ tr¨¨s bient?t!"
Bonjour je souhaites le remboursement. ,"Cher client,Not¨¦ avec merci?! Nous allons nous en occuper aujourdhui?!?
Cher client, Nous comprenons parfaitement. Nous avons donc rembours¨¦ cette commande via Amazon. Vous recevrez largent dans les 72 heures ouvrables. Nous sommes tr¨¨s d¨¦sol¨¦s pour le d¨¦rangement. Nous sommes toujours les bienvenus pour votre prochain achat. Acclamations"
"Bonjour, Apr¨¨s moins de 6 mois dutilisation, le t¨¦l¨¦phone ne charge plus et ne sallume plus. Je souhaite un retour et un remboursement sil vous plait.Cordialement, C¨¦line SAVARY","Cher client,Nous nous excusons pour tout inconv¨¦nient. Ne vous inqui¨¦tez pas, nous pouvons vous proposer un nouveau remplacement apr¨¨s r¨¦ception. Veuillez nous envoyer les informations suivantes :1. Photos de lappareil pour vous prot¨¦ger de tout litige, ¨¦cran de photos et couverture arri¨¨re.Et veuillez confirmer soigneusement si le t¨¦l¨¦phone a subi une chute/pression/infiltration deau ou des dommages similaires.2. Veuillez confirmer votre adresse de livraison comme ci-dessous afin que nous puissions g¨¦n¨¦rer une ¨¦tiquette de retour gratuite pour vous et vous guider dans le retour du produit d¨¦fectueux. Merci et jattends votre r¨¦ponse. CordialementCAMPING PRE FIXE - SARL VIALA C--285, Chemin du Chateau dEau31420 Cassagnabere Tournas, France0633115619"
"Bonjour,
Le t¨¦l¨¦phone n'a subi aucun dommage (pas de ch?te, de pression ou d'infiltration d'eau) et est en parfait ¨¦tat comme vous pourrez le voir sur les photos. L'adresse de livraison est exacte pour l'¨¦tiquette de retour. ","Cher client,Veuillez trouver l¨¦tiquette dexp¨¦dition gratuite ci-jointe.Suivez attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner lappareil.1. D¨¦sactivez le LOCK CODE si votre appareil en poss¨¨de un ou notez-le sur une feuille de papier et mettez-le dans la bo?te.2. D¨¦CONNECTEZ votre compte ICLOUD. Si un compte iCloud est connect¨¦ au t¨¦l¨¦phone renvoy¨¦, cela ralentira votre processus dassistance.3. Enregistrez vos donn¨¦es et retirez la carte SIM.4. Ensuite, vous pouvez emballer le produit. Veuillez utiliser un emballage suffisamment solide et tous les accessoires re?us doivent ¨ºtre retourn¨¦s ensemble. Emballez soigneusement le produit afin de vous prot¨¦ger dun ¨¦ventuel litige.5. Imprimez l¨¦tiquette dexp¨¦dition sur le colis.6. Vous pouvez livrer le colis ¨¤ ladresse suivante :RUE DE LA POSTE31420 AURIGNAC FranceSi cette adresse ne vous convient pas, vous pouvez consulter le site Web du transporteur pour obtenir une liste des points de livraison ¨¤ proximit¨¦.Une fois que nous aurons re?u le produit retourn¨¦ et quil sera conforme, nous vous renverrons le produit de remplacement sous 48h ouvr¨¦es.Nous nous excusons ¨¤ nouveau pour la g¨ºne occasionn¨¦e et vous remercions de votre compr¨¦hension.En attente de r¨¦ponse!
Cher client,Veuillez supprimer votre compte iCloud avant lexp¨¦dition. Vous pouvez le supprimer avec la m¨¦thode ¨¤ distance ci-dessous ou nous ne pouvons pas suivre.Suivez les instructions pour vous d¨¦connecter de votre compte iCloud avec un ordinateur portable ou un ordinateur. Vous navez pas besoin davoir un t¨¦l¨¦phone, vous avez juste besoin dutiliser un ordinateur ou un ordinateur portable.1. Allez sur la page : https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/7720319f-5bf6-34ea-b722-e845f76be2aa?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=8TtvimJi65nDF9LlHWXiBrl-fnC1vKeRhUiSUkj4zKZj49ih3v3zlzprBl6phDUAIgoBaZzJxvhA0UZ5NH5WyA&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 et connectez-vous au compte iCloud auquel votre appareil ¨¦tait connect¨¦.2. Si lauthentification ¨¤ deux facteurs est activ¨¦e, vous devriez recevoir un code de v¨¦rification sur vos appareils de confiance. Si ce nest pas le cas, ins¨¦rez la carte SIM dans un nouvel appareil et cliquez sur ""Na pas re?u de code ?"" puis ""Envoyez-moi un SMS"". 3. Cliquez sur ""Rechercher"". Si vous ne voyez pas lapplication ""Rechercher"", cela signifie que vous n¨ºtes pas connect¨¦ au bon compte iCloud?; v¨¦rifiez quil sagit bien de lidentifiant Apple utilis¨¦ pour votre appareil.4. Cliquez sur ""Tous mes appareils"" en haut de la fen¨ºtre. Si vous ne voyez pas ""Tous mes appareils"", cela signifie que vous avez d¨¦j¨¤ s¨¦lectionn¨¦ un appareil. Cliquez sur le nom de lappareil actuel au centre de la barre doutils pour acc¨¦der ¨¤ la liste des appareils, puis s¨¦lectionnez un autre appareil.5. S¨¦lectionnez lappareil Apple que vous souhaitez d¨¦connecter, il doit ¨ºtre hors ligne (avec un point gris ¨¤ gauche). Un appareil est consid¨¦r¨¦ hors ligne sil est ¨¦teint ou d¨¦connect¨¦ de tout r¨¦seau Internet.6. Cliquez sur ""Supprimer du compte"". Si vous ne voyez pas le bouton ""Supprimer du compte"", assurez-vous de d¨¦connecter lappareil (¨¦teignez-le).7. Apple vous demande de confirmer la suppression de lappareil. Cliquez sur ""Supprimer"". Enfin, Apple vous demande de saisir le mot de passe pour valider la suppression. Entrez votre mot de passe et cliquez sur ""Supprimer"". De cette fa?on, vous vous d¨¦connecterez avec succ¨¨s de votre compte iCloud sur lappareil. Merci beaucoup pour ton aide."
"Bonjour,Apr¨¨s 1 semaine dutilisation normale et sans probl¨¨me, le t¨¦l¨¦phone sest ¨¦teint subitement et refuse de sallumer. Lorsque je le branche au chargeur, le logo Apple sallume et s¨¦teint subitement en boucle.Num¨¦ro de commande : 404-7499089-0621121
Pas de probl¨¨me, ce sont des choses qui arrivent.Le t¨¦l¨¦phone na subit aucune chute, pression, inflitration deau ou dammages similaires. Le t¨¦l¨¦phone ne sallume plus et ne semble plus charger, la batterie semble HS. (cf photo allum¨¦ = en charge depuis hier matin).Mon addresse de livraison est bien celle que vous avez envoy¨¦. Ci-joint les photographies demand¨¦es.","Cher client,Jesp¨¨re que tu vas bien aujourdhui ! Selon la logistique, le colis a ¨¦t¨¦ livr¨¦. Nous v¨¦rifierons aupr¨¨s de notre entrep?t et vous proposerons une solution dans les 48 heures ouvrables.Mais apr¨¨s avoir v¨¦rifi¨¦ lIMEI 351793398759758 de votre t¨¦l¨¦phone. Le compte iCloud na pas encore ¨¦t¨¦ supprim¨¦, voir ci-joint. Pourriez-vous le supprimer d¨¨s que possible??Vous pouvez le faire ¨¤ distance sans le t¨¦l¨¦phone en suivant notre guide en choisissant ""Se d¨¦connecter via icloud.comhttps://sellercentral-europe.amazon.com/nms/redirect/1770e822-63fe-3fec-a70c-b5cbf09cdcf2?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=K279PvhRb3-fr0v6JxobGQoQhJi4p--5-elG04BJcS1OuX4iE8eiwTcn5caL5IN9VUx_if82pw9n_PuhwZBRTw&n=1&u=aHR0cDovL2ljbG91ZC5jb20 "" ici ou avec la m¨¦thode jointe?:- Allez sur https://www.icloud.com/ethttps://sellercentral-europe.amazon.com/nms/redirect/9d6d1460-cf63-3a94-933d-4710acc3223f?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=DIXNVMD-YqLkYDViyi3R1zY48PlGvHrLFLZz149v0Wk34XhNMxmscpRGV5TaUGUJbzbHa_JCPknY3vR28342Lg&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS9ldA connectez-vous avec le m¨ºme compte iCloud connect¨¦ ¨¤ votre appareil - Cliquez sur ""Trouver mon iPhone"" - Cliquez sur ""Tous les appareils"" en haut de la fen¨ºtre - S¨¦lectionnez lappareil que vous voulez pour vous d¨¦connecter - Veuillez noter que votre appareil doit ¨ºtre hors ligne, vous devriez voir un point gris ¨¤ c?t¨¦ de lui si cest le cas (un appareil est ¨¦galement consid¨¦r¨¦ comme hors ligne sil est ¨¦teint ou non connect¨¦ ¨¤ un r¨¦seau de donn¨¦es) - Cliquez sur ""Supprimer du compte"" , puis cliquez sur ""Supprimer"" - Entrez votre mot de passe Apple ID et confirmez Faites-le moi savoir une fois que vous avez termin¨¦ ces ¨¦tapes."
"Bonjour, Je vous contact car ce matin en prenant mon t¨¦l¨¦phone je constate que mon ¨¦cran se soul¨¨ve au milieu c?t¨¦ droit ¡­. Impossible de le remettre en place.Il n¡¯est pas tomb¨¦ ni autre chose qui aurait pu l¡¯endommager.Merci de bien vouloir me donner la suite ¨¤ donn¨¦ ¨¤ cette ¨¦v¨¦nement.Mon t¨¦l¨¦phone 0607793152Bien cordialement ","Cher client,Nous nous excusons pour tout inconv¨¦nient. Pourriez-vous nous envoyer des photos pour montrer le probl¨¨me ? Ne vous inqui¨¦tez pas, nous vous proposerons une solution satisfaisante.?"
"Bonjour, Merci pour votre retour.Ci-joint plusieurs photos du t¨¦l¨¦phone.Cordialement ","Cher client,Nous nous excusons pour tout inconv¨¦nient. Ne vous inqui¨¦tez pas, nous pouvons vous proposer un nouveau remplacement. Merci de nous faire parvenir les informations suivantes : 1. Des photos de lappareil pour le prot¨¦ger de tout litige, des photos de l¨¦cran allum¨¦ et ¨¦teint, et de la coque arri¨¨re. Veuillez confirmer soigneusement si le t¨¦l¨¦phone a subi une chute/une pression/une p¨¦n¨¦tration deau ou des dommages similaires. 2. Veuillez confirmer si ladresse suivante est correcte.Afin que nous puissions vous fournir une ¨¦tiquette de retour gratuite. Au plaisir de vous entendre bient?t?!VALENTIN PETUREAU9 Rue du Rh?ne66600 Rivesaltes, France"
"La batterie ne tient pas une journ¨¦e et surchauffe 
La batterie n¡¯arr¨ºte pas de surchauffer et le t¨¦l¨¦phone se d¨¦charge rapidement 
Batterie surchauffe ","Cher client,Nous nous excusons pour la g¨ºne occasionn¨¦e. Pourriez-vous nous indiquer la capacit¨¦ de la batterie de votre t¨¦l¨¦phone ? Nous pensons quil est normal que la batterie de liPhone ne dure pas une journ¨¦e. Lorsque vous venez de recevoir votre t¨¦l¨¦phone, il est normal que la batterie se d¨¦charge rapidement en aux mises ¨¤ jour du syst¨¨me, aux t¨¦l¨¦chargements dapplications, etc. dans les premiers jours. Nous vous recommandons de conserver votre t¨¦l¨¦phone et de v¨¦rifier pendant encore 1 ¨¤ 2 semaines. Si cela saggrave, veuillez nous contacter ¨¤ nouveau et nous pourrons le remplacer pour vous. Ne vous inqui¨¦tez pas, nous offrons une garantie dun an sans dommages caus¨¦s par lhomme. Passe une bonne journ¨¦e!"
Bonjour elle es ¨¤ 98% mais surchauffe beaucoup m¨ºme sans utilisation ,"Cher client,Nous nous excusons pour tout inconv¨¦nient. Ne vous inqui¨¦tez pas, nous pouvons vous proposer un nouveau remplacement. Merci de nous faire parvenir les informations suivantes : 1. Des photos de lappareil pour le prot¨¦ger de tout litige, des photos de l¨¦cran allum¨¦ et ¨¦teint, et de la coque arri¨¨re. Veuillez confirmer soigneusement si le t¨¦l¨¦phone a subi une chute/une pression/une p¨¦n¨¦tration deau ou des dommages similaires. 2. Veuillez confirmer si ladresse suivante est correcte.Afin que nous puissions vous fournir une ¨¦tiquette de retour gratuite. Au plaisir de vous entendre bient?t?!Lana Guyot57 rue du marais62110 Henin Beaumont, 0765674886France"
Je ne comprends que le livreur n¡¯ait aucune information de livraison si ce n¡¯est l¡¯adresse. Il n¡¯a pas le digicode d¡¯acc¨¨s ¨¤ la r¨¦sidence ni m¨ºme mon num¨¦ro de t¨¦l¨¦phone ! Je suis chez moi et l¡¯on me dit que la livraison a ¨¦chou¨¦¡­ ,"Cher client,Nous nous excusons pour tout inconv¨¦nient.La logistique indique ""Votre colis na pas pu ¨ºtre livr¨¦ en raison dune adresse incorrecte"".Ils effectueront la livraison aujourdhui.Pourriez-vous contacter lacrrier pour obtenir le colis ?Ce sera plus rapide.Veuillez vous r¨¦f¨¦rer au suivi ci-dessous lien pour les d¨¦tails dexp¨¦dition. Merci pour votre r¨¦ponse rapide!https://www.colisprive.com/moncolis/pages/detailColis.aspx?numColis=W5000214056692210https://sellercentral-europe.amazon.com/nms/redirect/7aa7aff8-8c59-39c6-a42f-aa4c17df9d80?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=EalRyQTucTfXpe9UAI_r_i8H0I04rMsN6LMydO5yBYNWm52FwwdKAN_b3AWFkDfcmdWmDyR4oAN3uCCaAAJA5g&n=1&u=aHR0cHM6Ly93d3cuY29saXNwcml2ZS5jb20vbW9uY29saXMvcGFnZXMvZGV0YWlsQ29saXMuYXNweD9udW1Db2xpcz1XNTAwMDIxNDA1NjY5MjIxMA"
"L¡¯adresse est correct. Ca n¡¯est pas le probl¨¨me. En revanche, le livreur n¡¯a aucune information. Je ne comprends pas pourquoi mes coordonn¨¦es n¡¯ont pas ¨¦t¨¦ transmises ¨¤ la logistique. Comment voulez vous que vos produits soient bien livr¨¦s si le transporteur n¡¯a aucune information ? J¡¯esp¨¨re que le produit command¨¦ ne sera pas ab?m¨¦ apr¨¨s avoir ¨¦t¨¦ si souvent manipul¨¦¡­","Cher client,Selon la logistique, le colis a ¨¦t¨¦ livr¨¦ hier voir POD ci-joint. Pourriez-vous sil vous pla?t confirmer si vous lavez re?u????https://www.colisprive.com/moncolis/pages/detailColis.aspx?numColis=W5000214056692210https://sellercentral-europe.amazon.com/nms/redirect/577bc01e-ce83-315a-b1bc-d9575f97dbe3?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=Nbit8M_WlARc2dgjicZd376_LLlANIDWdFEnlU7WfxbMAo8-2DCuWYygx61D-zC1NSd60wxkMXl2mvyXFCl9Sw&n=1&u=aHR0cHM6Ly93d3cuY29saXNwcml2ZS5jb20vbW9uY29saXMvcGFnZXMvZGV0YWlsQ29saXMuYXNweD9udW1Db2xpcz1XNTAwMDIxNDA1NjY5MjIxMA
POD"
"Bonjour, le colis a ¨¦t¨¦ r¨¦ceptionn¨¦ hier en milieu d¡¯apr¨¨s midi et cette fois le livreur avait m¨ºme mon num¨¦ro de mobile pour pouvoir me joindre ??","Cher client,Nous sommes heureux dentendre cela. Je souhaite que vous laimiez. Bonne journ¨¦e?!?"
"En revanche je trouve que liPhone chauffre vraiment beaucoup et rapidement... Je ne pense pas que cela soit normal. Hier les ""objectifs photos"" chauffaient beaucoup quand jai pu finaliser le transfert de donn¨¦es de mon ancien iPhone vers ce nouveau. Puis aujourdhui apr¨¨s quelques minutes dutilisation ""classique"" en tentant dutiliser lappli MS Teams, il se met ¨¤ chauffer et la luminosit¨¦ de l¨¦cran baisse automatiquement. Un d¨¦faut de reconditionnement ?
Bonjour, le t¨¦l¨¦phone chauffe anormalement et tr¨¨s rapidement. Il se met en ""s¨¦curit¨¦"" et la luminosit¨¦ de l¨¦cran baisse automatiquement... Hier quand jai fait le transfert de donn¨¦es depuis mon ancien iPhone (10 Pro Max), le transfert a ¨¦t¨¦ tr¨¨s long (comparativement ¨¤ dautres transferts que jai pu d¨¦j¨¤ faire auparavant), puis une fois termin¨¦ (quasiment une heure pour transf¨¦rer 50 Go) jai constat¨¦ que les objectifs photos ¨¦taient tr¨¨s chauds. Aujourdhui avec une utilisation normale, je constate que le t¨¦l¨¦phone surchauffe tr¨¨s rapidement et de mani¨¨re anormale. Je peux compararer avec mon iPhone 10 Pro Max, avec mon iPhone ""professionnel"" fourni par ma soci¨¦t¨¦, avec liPhone 10 de ma fille, avec liPhone 12 Pro Max dun ami... Je vais arr¨ºter de lutiliser et reprendre mon iPhone 10. Que pouvez vous me proposer ? Merci","Cher client,Nous nous excusons pour tout inconv¨¦nient. Lorsque vous commencez ¨¤ utiliser votre t¨¦l¨¦phone pour la premi¨¨re fois, il existe de nombreux programmes ¨¤ t¨¦l¨¦charger et ¨¤ ex¨¦cuter, ce qui peut facilement faire chauffer le t¨¦l¨¦phone. Nous vous recommandons de lutiliser pendant encore 1 ¨¤ 2 semaines et dattendre que le t¨¦l¨¦phone se stabilise. Si le probl¨¨me persiste, nous vous l¨¦changerons. Merci pour votre soutien?!"
