question,answer
"早上好，我以为我已经删除了iCloud，现在的问题是我不记得密码和Apple ID了，我该怎么办？
我不想要另一部手机。我可以退货吗？非常感谢。","亲爱的客户，我们可以为您退款，但您必须删除iCloud帐户或手机是无用的。我们想给您发送iCloud帐户的截图，但是手机无法开机，所以只有您能够处理。请尝试记住并从您的计算机中删除它。感谢您的支持~

我们知道您的手机无法开机。所以也许您无法在手机上关闭iCloud帐户。请按照以下说明使用笔记本电脑或计算机退出iCloud帐户。不需要手机，只需使用计算机或笔记本电脑即可。

1. 访问以下网页：https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/fb252502-db54-3fbe-8a8d-8549144869a5?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=Z0BKMAP5Xzz1N6NSkbCKCF0VtuvqYk5XAhz871OM5R6c9dFXALKxnFMeF8tv3KCNt2rBzkvV1sDWTjLRLvLm2g&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 并登录与您的设备连接的iCloud帐户。

2. 如果启用了双重认证，您应该在可信设备上收到验证码。否则，请将SIM卡插入新设备，并点击“没有收到验证码？”然后点击“发送短信”。

3. 点击“查找”。如果您看不到“查找”应用程序，则表示您没有登录正确的iCloud帐户，请确保使用的是与您的设备相关的Apple ID。

4. 在窗口顶部点击“所有我的设备”。如果您看不到“所有我的设备”，则表示您已经选择了一个设备。点击工具栏中央的当前设备名称以访问设备列表，然后选择另一个设备。

5. 选择要断开连接的Apple设备，它应该是离线状态（左侧有一个灰色点）。如果设备已关闭或断开了任何互联网连接，则被视为离线。

6. 点击“从帐户中删除”。如果您看不到“从帐户中删除”按钮，请确保断开连接该设备（关闭它）。

7. Apple会要求您确认删除该设备。点击“删除”。最后，Apple会要求您输入密码以验证删除。输入密码并点击“删除”。这样，您将成功退出手机上的iCloud帐户。

非常感谢您的支持。"
好的，我会试着记住然后告诉你们。谢谢。,好的，我们会等待你的好消息！
我刚刚打开包裹，发现手机已经损坏了，前面的屏幕已经脱落了！,"亲爱的客户，我们很抱歉听到这个消息。为了进行物流调查，请您提供以下信息：1. 产品包装的照片（内外），产品标签应该在包装上可见。2. 您收到的手机的IMEI号码。您可以在设置-通用-关于本机中找到IMEI号码。如果您将此页面截图发送给我们也可以。3. 您收到包裹时是否完好无损？我们期待您的回复。

亲爱的客户，请您发送设备照片以保护自己免受任何纠纷，包括开机和关机状态下的屏幕照片以及发货前的背面盖。请在附件中找到免费发货标签。请仔细遵循以下说明，如果不遵循这些说明，我们将不得不退还设备给您。
1. 如果您的设备有密码锁，请先解锁或将密码写在一张纸上放入盒子中。
2. 解除与iCloud账户的绑定。如果退回的手机上有iCloud账户连接，这将延缓您的售后处理过程。如果您无法解除与iCloud账户的绑定，请告知我们。
3. 备份数据并取出SIM卡。
4. 然后，您可以将产品打包。请使用足够坚固的包装，并将所有收到的配件一起退回。请仔细包装产品以保护自己免受任何纠纷。
5. 在包裹上打印发货标签。
6. 您可以将包裹送到以下地址：
法国GRANGES AUMONTZEY市Lattre de Tassigny街1号

如果这个地址不适合您，您可以在承运人的网站上查看附近的送货点列表。

一旦我们收到您退回的产品并符合要求，我们将在48个工作小时内发送替换产品给您。

再次为给您带来的不便表示歉意，并感谢您的理解。

等待回复！"
"亲爱的客户，
请将设备的照片发送给我们，以保护您免受任何纠纷，包括开启和关闭的照片屏幕以及发货前的背面盖。请在附件中找到免费运输标签。
请仔细遵循以下说明，如果未按照说明操作，我们将不得不退还设备给您。
1. 如果您的设备有密码锁，请将其关闭或将密码写在一张纸上放入盒子中。
2. 解除与您的iCloud账户的关联。如果退回的手机上连接了iCloud账户，这将延缓您的售后处理过程。如果您无法解除与iCloud账户的关联，请告知我们。
3. 备份您的数据并取出SIM卡。
4. 然后，您可以包装产品。请使用足够坚固的包装，并将所有收到的配件一起退回。请仔细包装产品以保护自己免受任何纠纷。
5. 在包裹上打印运输标签。
6. 您可以将包裹交付至以下地址：法国GRANGES AUMONTZEY市Lattre de Tassigny街1号
如果这个地址不适合您，您可以在承运人网站上查看附近交货点列表。
一旦我们收到并确认符合要求的退回产品，我们将在48个工作小时内发送替换产品给您。
再次为给您带来的不便表示歉意，并感谢您的理解。
请等待回复！
由Outlook for Android发送<[link removed]>________________________________From: ECOMMUNITY - Marketplace dAmazon.fr <[adresse électronique supprimée]>Sent: Saturday, June 10, 2023 3:49:43 AMTo: [adresse électronique supprimée] <[adresse électronique supprimée]>Subject: Article endommagé ou défectueux : Demander un article de remplacement(Commande : 402-8767541-1183505)Vous avez reçu un message de la part du vendeur Amazon à ECOMMUNITYNuméro de la commande: 402-8767541-1183505Total   Nom du produit et ASIN1       [product image]         Apple iPhone 11 Pro 256Go Vert Nuit (Reconditionné)ASIN: B082DJNRLDCher client,Veuillez nous envoyer les photos de lappareil pour vous protéger de tout litige, écran de photos allumé et éteint et couverture arrière avant expédition. Veuillez trouver létiquette dexpédition gratuite ci-jointe.Veuillez suivre attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner lappareil.1. Désactivez CODE LOCK si votre appareil en possède un ou notez-le sur une feuille de papier et mettez-le dans la boîte.2. DISSOCIEZ votre compte ICLOUD. Si un compte iCloud est connecté sur le téléphone renvoyé, cela ralentira votre processus dassistance. Si vous ne parvenez pas à vous déconnecter du compte iCloud, veuillez nous en informer.3. Enregistrez vos données et retirez la carte SIM.4. Ensuite, vous pouvez emballer le produit. Utilisez un emballage suffisamment SOLIDE et tous les accessoires reçus doivent être retournés ensemble. Veuillez emballer soigneusement le produit pour vous protéger de tout litige.5. Imprimez létiquette dexpédition sur le colis.6. Vous pouvez livrer le colis à ladresse suivante :1 rue de Lattre de Tassigny88640 GRANGES AUMONTZEY FranceSi cette adresse ne vous convient pas, vous pouvez consulter sur le site du transporteur la liste des points de livraison à proximité.Une fois que nous recevons votre produit retourné et quil répond aux exigences, nous vous enverrons le remplacement dans les 48 heures ouvrables.Nous nous excusons à nouveau pour la gêne occasionnée et vous remercions de votre compréhension.Attendre une réponse!Ceci a-t-il résolu votre problème?Droits dauteur 2023 Amazon, Inc. ou ses filiales. Tous droits réservés. Amazon Services Europe S.à r.l.5 Rue PlaetisL-2338 LuxembourgEnregistré au Luxembourg sous la référence B-93815Capital Social 12.500 EURNuméro dautorisation détablissement: 100416Numéro didentification à TVA luxembourgeoise : LU 19647148Important : Lorsque vous répondez à ce message, Amazon.fr remplace votre adresse électronique par une adresse fournie par Amazon.fr, ce afin de protéger votre identité, et transmet ce message de votre part. Amazon.fr filtre tous les messages avant de les transmettre au vendeur pour identifier des fraudes potentielles. Les messages bloqués par ce filtre ne sont pas transmis. Amazon.fr garde une copie de tous les courriels envoyés et reçus par le biais de ce service, y compris ce message, qui pourront être utilisés en particulier dans le cadre de demande de Garantie A à Z. En utilisant ce service, vous acceptez ces conditions.[commMgrTok:A050891934A4NKLLGC6S9]",亲爱的客户，感谢您提供的信息！一旦您发货了手机，请告知我们。
没问题，我今天就把它退回去。,亲爱的客户，感谢您提供的信息！我们将跟踪包裹，并在收到后立即通知您。再见！诚挚问候。
包裹昨天已经投递了。接下来退款的程序会如何进行？谢谢。,亲爱的客户，我们会在收到后无问题地退款给您。再见！
当然，退回的包裹应该今天送达！,亲爱的客户，希望你今天过得好！根据物流信息，包裹已经送达。我们将与我们的仓库核实，并在48个工作小时内提供解决方案。再见！
你好，我希望退款。,亲爱的客户，不用谢吗？！我们会在今天处理这个问题的！亲爱的客户，我们完全理解。因此，我们已经通过亚马逊退款了这个订单。您将在72个工作小时内收到退款。对于给您带来的不便，我们非常抱歉。欢迎您继续购买我们的产品。祝福您！
你好，使用不到6个月后，手机无法充电和开机。我希望能够退货并退款。谢谢。顺祝商祺，Céline SAVARY,"亲爱的客户，我们对给您带来的任何不便表示歉意。请不要担心，我们可以在收到后为您提供一份新的替换。请发送以下信息给我们：1. 为了保护您免受任何争议，请发送设备的照片，包括屏幕照片和背面照片。请仔细确认手机是否遭受过摔落/压力/水浸或类似损坏。2. 请确认您的送货地址如下，以便我们可以为您生成免费退货标签，并指导您如何退回有问题的产品。谢谢，并期待您的回复。此致CAMPING PRE FIXE - SARL VIALA C--285, Chemin du Chateau dEau31420 Cassagnabere Tournas, France0633115619"
"你好，
手机没有受到任何损坏（没有摔落、压力或水渗透），并且在照片上可以看到它处于完好的状态。退货标签上的送货地址是准确的。","亲爱的客户，
请找到附上的免费运输标签。请仔细遵循以下说明，如果不遵循这些说明，我们将不得不退还您的设备。
1. 如果您的设备有锁定码，请将其关闭或将其写在纸上并放入包装盒中。
2. 断开您的iCloud账户。如果退还的手机连接了iCloud账户，这将延缓您的售后处理过程。
3. 备份您的数据并取出SIM卡。
4. 然后，您可以将产品包装好。请使用足够坚固的包装，并一起退还所有收到的配件。请小心地包装产品以保护自己免受潜在争议。
5. 在包裹上打印运输标签。
6. 您可以将包裹送到以下地址：
RUE DE LA POSTE
31420 AURIGNAC France
如果这个地址不适合您，您可以查看运输公司网站以获取附近投递点列表。
一旦我们收到退还的产品并确认符合要求，我们将在48个工作小时内重新发送替换产品给您。
再次为给您带来不便表示歉意，并感谢您的理解。
期待回复！

亲爱的客户，
在发货前，请删除您的iCloud账户。您可以使用以下远程方法删除它，否则我们将无法跟踪。
按照以下说明断开您的iCloud账户，使用笔记本电脑或台式电脑。您不需要手机，只需要使用电脑或笔记本电脑。
1. 打开网页：https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/7720319f-5bf6-34ea-b722-e845f76be2aa?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=8TtvimJi65nDF9LlHWXiBrl-fnC1vKeRhUiSUkj4zKZj49ih3v3zlzprBl6phDUAIgoBaZzJxvhA0UZ5NH5WyA&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 并登录您的iCloud账户。
2. 如果启用了双重认证，您应该在受信任的设备上收到验证码。如果没有收到，请将SIM卡插入新设备并点击“没有收到验证码？”然后点击“发送短信”。 
3. 点击“查找”。如果您看不到“查找”应用程序，则表示您未登录正确的iCloud账户，请确保使用的是与您的设备相对应的Apple ID。
4. 在窗口顶部点击“所有我的设备”。如果看不到“所有我的设备”，则表示您已经选择了一个设备。点击工具栏中央当前设备的名称以访问设备列表，然后选择另一个设备。
5. 选择要断开连接的Apple设备，它必须处于离线状态（左侧有一个灰色点）。如果设备已关闭或断开了与任何互联网网络的连接，则被视为离线。
6. 点击“从账户中删除”。如果看不到“从账户中删除”按钮，请确保断开设备（关闭它）。
7. Apple会要求您确认删除设备。点击“删除”。最后，Apple会要求您输入密码以确认删除。输入密码并点击“删除”。这样，您就成功地从设备上成功注销了iCloud账户。非常感谢您的帮助。"
"你好，使用了一周正常且没有问题后，手机突然关机并拒绝开机。当我将它连接到充电器时，苹果的标志会闪烁并循环开关。订单号：404-7499089-0621121
没有问题，这些事情是会发生的。手机没有受到任何摔落、压力、水浸或类似的损坏。手机无法开机，似乎也无法充电，电池可能已经损坏（参见照片中的充电状态，从昨天早上开始）。我的送货地址是您发送的那个。附上所要求的照片。",亲爱的客户，希望你今天过得好！根据物流信息，包裹已经送达。我们将与我们的仓库核实，并在48个工作小时内提供解决方案。但是在核实了您手机的IMEI 351793398759758后，发现iCloud账户尚未删除，请参见附件。请尽快删除它。您可以通过远程方式在不使用手机的情况下按照我们的指南进行操作，选择“通过icloud.comhttps://sellercentral-europe.amazon.com/nms/redirect/1770e822-63fe-3fec-a70c-b5cbf09cdcf2?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=K279PvhRb3-fr0v6JxobGQoQhJi4p--5-elG04BJcS1OuX4iE8eiwTcn5caL5IN9VUx_if82pw9n_PuhwZBRTw&n=1&u=aHR0cDovL2ljbG91ZC5jb20”或使用以下方法：- 访问https://www.icloud.com/ethttps://sellercentral-europe.amazon.com/nms/redirect/9d6d1460-cf63-3a94-933d-4710acc3223f?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=DIXNVMD-YqLkYDViyi3R1zY48PlGvHrLFLZz149v0Wk34XhNMxmscpRGV5TaUGUJbzbHa_JCPknY3vR28342Lg&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS9ldA，使用与您设备连接的相同iCloud账户登录- 点击“查找我的iPhone”- 在窗口顶部点击“所有设备”- 选择您要断开连接的设备- 请注意，您的设备必须处于离线状态，如果是这样，您应该看到旁边有一个灰色点（如果设备关闭或未连接到数据网络，也被视为离线）- 点击“从账户中删除”，然后点击“删除”- 输入您的Apple ID密码并确认完成这些步骤后，请告诉我。
"你好，我联系你是因为今天早上拿起手机时发现屏幕在右侧中间有一部分凸起。无法将其放回原位。它没有掉落或其他可能损坏它的事情。请告诉我接下来该怎么办。我的电话号码是0607793152。谢谢您的帮助。

此致敬礼",亲爱的客户，我们对任何不便表示歉意。您能否发送照片来展示问题？请不要担心，我们将为您提供满意的解决方案。
你好，谢谢您的回复。附上几张手机的照片。谢谢。,"亲爱的客户，我们为给您带来的任何不便表示歉意。请不要担心，我们可以为您提供一份新的替换品。请将以下信息发送给我们：1. 设备的照片，以保护免受任何争议，包括屏幕开启和关闭的照片以及背壳照片。请仔细确认手机是否遭受过摔落/压力/水浸或类似损坏。2. 请确认以下地址是否正确，以便我们为您提供免费的退货标签。期待尽快收到您的回复！VALENTIN PETUREAU9 Rue du Rhône66600 Rivesaltes, France"
"电池无法支持一整天并且过热
电池不停地过热并且手机电量迅速消耗
电池过热",亲爱的客户，我们为给您带来的不便表示歉意。请问您的手机电池容量是多少？我们认为iPhone电池不能持续一整天是正常的。当您刚收到手机时，由于系统更新、应用下载等原因，电池会在最初几天内迅速消耗。我们建议您保留手机，并再观察1到2周。如果情况恶化，请再次联系我们，我们可以为您更换手机。请放心，我们提供一年无人为损坏的保修服务。祝您有个愉快的一天！
你好，它的电池电量是98%，但即使没有使用也会过热。,"亲爱的客户，我们为给您带来的任何不便表示歉意。请不要担心，我们可以为您提供一份新的替换产品。请您提供以下信息：1. 为了保护您的权益，请提供设备的照片，包括开机和关机状态下的屏幕照片以及背壳照片。请仔细确认手机是否遭受过摔落、挤压、进水或类似损坏。2. 请确认以下地址是否正确，以便我们为您提供免费退货标签：Lana Guyot57 rue du marais62110 Henin Beaumont, 0765674886法国期待尽快收到您的回复！"
我不理解为什么送货员除了地址之外没有任何送货信息。他没有进入住宅的门禁密码，甚至没有我的电话号码！我就在家里，却被告知送货失败了。,亲爱的客户，我们为给您带来的任何不便表示歉意。物流显示“由于地址不正确，您的包裹无法送达”。他们将在今天进行投递。您能否联系快递员取回包裹？这样会更快捷。请参考以下链接以获取运输详情。感谢您的迅速回复！https://www.colisprive.com/moncolis/pages/detailColis.aspx?numColis=W5000214056692210https://sellercentral-europe.amazon.com/nms/redirect/7aa7aff8-8c59-39c6-a42f-aa4c17df9d80?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=EalRyQTucTfXpe9UAI_r_i8H0I04rMsN6LMydO5yBYNWm52FwwdKAN_b3AWFkDfcmdWmDyR4oAN3uCCaAAJA5g&n=1&u=aHR0cHM6Ly93d3cuY29saXNwcml2ZS5jb20vbW9uY29saXMvcGFnZXMvZGV0YWlsQ29saXMuYXNweD9udW1Db2xpcz1XNTAwMDIxNDA1NjY5MjIxMA
地址是正确的。这不是问题。然而，送货员没有任何信息。我不明白为什么我的联系方式没有传递给物流部门。如果运输人员没有任何信息，你们怎么希望产品能够被正确送达呢？我希望所订购的产品在经过如此频繁的搬运后不会受损。,亲爱的客户，根据物流信息，包裹昨天已经送达，请确认是否收到。请点击以下链接查看POD证明：https://www.colisprive.com/moncolis/pages/detailColis.aspx?numColis=W5000214056692210https://sellercentral-europe.amazon.com/nms/redirect/577bc01e-ce83-315a-b1bc-d9575f97dbe3?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=Nbit8M_WlARc2dgjicZd376_LLlANIDWdFEnlU7WfxbMAo8-2DCuWYygx61D-zC1NSd60wxkMXl2mvyXFCl9Sw&n=1&u=aHR0cHM6Ly93d3cuY29saXNwcml2ZS5jb20vbW9uY29saXMvcGFnZXMvZGV0YWlsQ29saXMuYXNweD9udW1Db2xpcz1XNTAwMDIxNDA1NjY5MjIxMA
你好，包裹昨天下午收到了，这次送货员甚至有我的手机号码可以联系我吗？,亲爱的客户，我们很高兴听到这个消息。我希望您会喜欢它。祝您有个愉快的一天！
"对于这个问题，我发现iPhone确实会非常快地发热...我不认为这是正常的。昨天在我完成从旧iPhone向新iPhone的数据传输时，""相机镜头""发热很厉害。然后今天，在进行一些""常规使用""时，尝试使用MS Teams应用时，它开始发热，并且屏幕亮度会自动降低。是重新装配的问题吗？

你好，手机异常地快速发热。它进入了""安全模式""并且屏幕亮度会自动降低...昨天当我从我的旧iPhone（10 Pro Max）进行数据传输时，传输非常缓慢（与我之前进行的其他传输相比），然后一旦完成（将50 GB传输花费了将近一个小时），我发现相机镜头非常热。今天在正常使用中，我发现手机异常地快速过热。我可以与我的iPhone 10 Pro Max、由我的公司提供的专业版iPhone、我女儿的iPhone 10以及朋友的iPhone 12 Pro Max进行比较...我将停止使用它，并继续使用我的iPhone 10。你能给我提供什么建议吗？谢谢",亲爱的客户，我们为任何不便向您道歉。当您第一次开始使用手机时，有许多需要下载和运行的程序，这可能会导致手机发热。我们建议您再使用1到2周，并等待手机稳定下来。如果问题仍然存在，我们将为您更换手机。感谢您的支持！
