"question","answer"
"Buongiorno, pensavo di aver eliminato L iCloud Il problema adesso é che non ricordo più la password e nemmeno L id Apple, come faccio? Non vorrei un altro cellulare. Vorrei il reso?Grazie mille","Gentile cliente, possiamo rimborsarti, ma devi rimuovere laccount iCloud o il telefono è inutile. E vogliamo inviarti uno screenshot del tuo account iCloud, ma il telefono non può accendersi, quindi solo tu puoi gestirlo. Prova a ricordarlo e rimuoverlo dal tuo computer. Grazie per il tuo supporto~E sappiamo che il tuo telefono non può essere acceso. Quindi forse non puoi disattivare il tuo account iCloud sul tuo telefono. Segui le istruzioni per uscire dal tuo account iCloud con un laptop o un computer. Non è necessario disporre di un telefono, è sufficiente utilizzare un computer o un laptop. 1. Vai alla pagina: https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/fb252502-db54-3fbe-8a8d-8549144869a5?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=Z0BKMAP5Xzz1N6NSkbCKCF0VtuvqYk5XAhz871OM5R6c9dFXALKxnFMeF8tv3KCNt2rBzkvV1sDWTjLRLvLm2g&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 e accedi allaccount iCloud a cui era connesso il tuo dispositivo. 2. Se lautenticazione a due fattori è abilitata, dovresti ricevere un codice di verifica sui tuoi dispositivi attendibili. In caso contrario, inserisci la scheda SIM in un nuovo dispositivo e fai clic su ""Non hai ricevuto un codice?"" quindi ""Inviami un SMS"". 3. Fai clic su ""Cerca"" Se non vedi lapp ""Cerca"", significa che non hai effettuato laccesso allaccount iCloud corretto; verifica che sia effettivamente lID Apple utilizzato per il tuo dispositivo. 4. Fai clic su ""Tutti i miei dispositivi"" nella parte superiore della finestra. Se non vedi ""Tutti i miei dispositivi"", significa che hai già selezionato un dispositivo. Fare clic sul nome del dispositivo corrente al centro della barra degli strumenti per accedere allelenco Dispositivi, quindi selezionare un altro dispositivo. 5. Selezionare il dispositivo Apple che si desidera disconnettere, dovrebbe essere offline (con un punto grigio a sinistra). Un dispositivo è considerato offline se è spento o disconnesso da qualsiasi rete Internet. 6. Fai clic su ""Rimuovi dallaccount"". Se non vedi il pulsante ""Rimuovi dallaccount"", assicurati di disconnettere il dispositivo (spegnilo). 7. Apple ti chiede di confermare la rimozione del dispositivo. Fare clic su ""Elimina"". Infine, Apple ti chiede di inserire la password per convalidare leliminazione. Inserisci la tua password e clicca su ""Elimina"". In questo modo, uscirai correttamente dal tuo account iCloud sul dispositivo. Grazie mille per il vostro sostegno."
"Okay, cerco di ricordarlo poi vi faccio sapere.Grazie","Ok, aspetteremo tue buone notizie!"
"je viens douvrir le colis et le téléphone est arrivé endommagé, lécran la façade avant est décollé !!! ","Cher client,Nous sommes désolés dapprendre cela. Afin de mener des enquêtes logistiques. Veuillez nous envoyer les informations suivantes : 1. Photo de lemballage du produit (externe et interne), les étiquettes du produit sont visibles sur lemballage. 2. Le numéro IMEI du téléphone que vous avez reçu. Vous pouvez trouver lIMEI dans Paramètres - Général - Info. Ce nest pas grave si vous nous envoyez une capture décran de cette page. 3. Le colis était-il intact lorsque vous lavez reçu ? Nous attendons votre réponse.Cher client,Veuillez nous envoyer les photos de lappareil pour vous protéger de tout litige, écran de photos allumé et éteint et couverture arrière avant expédition. Veuillez trouver létiquette dexpédition gratuite ci-jointe.Veuillez suivre attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner lappareil.1. Désactivez CODE LOCK si votre appareil en possède un ou notez-le sur une feuille de papier et mettez-le dans la boîte.2. DISSOCIEZ votre compte ICLOUD. Si un compte iCloud est connecté sur le téléphone renvoyé, cela ralentira votre processus dassistance. Si vous ne parvenez pas à vous déconnecter du compte iCloud, veuillez nous en informer.3. Enregistrez vos données et retirez la carte SIM.4. Ensuite, vous pouvez emballer le produit. Utilisez un emballage suffisamment SOLIDE et tous les accessoires reçus doivent être retournés ensemble. Veuillez emballer soigneusement le produit pour vous protéger de tout litige.5. Imprimez létiquette dexpédition sur le colis.6. Vous pouvez livrer le colis à ladresse suivante :1 rue de Lattre de Tassigny88640 GRANGES AUMONTZEY FranceSi cette adresse ne vous convient pas, vous pouvez consulter sur le site du transporteur la liste des points de livraison à proximité.Une fois que nous recevons votre produit retourné et quil répond aux exigences, nous vous enverrons le remplacement dans les 48 heures ouvrables.Nous nous excusons à nouveau pour la gêne occasionnée et vous remercions de votre compréhension.Attendre une réponse!"
"Cher client,
Veuillez nous envoyer les photos de l'appareil pour vous protéger de tout litige, écran de photos allumé et éteint et couverture arrière avant expédition. Veuillez trouver l'étiquette d'expédition gratuite ci-jointe.
Veuillez suivre attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner l'appareil.
1. Désactivez CODE LOCK si votre appareil en possède un ou notez-le sur une feuille de papier et mettez-le dans la boîte.
2. DISSOCIEZ votre compte ICLOUD. Si un compte iCloud est connecté sur le téléphone renvoyé, cela ralentira votre processus d'assistance. Si vous ne parvenez pas à vous déconnecter du compte iCloud, veuillez nous en informer.
3. Enregistrez vos données et retirez la carte SIM.
4. Ensuite, vous pouvez emballer le produit. Utilisez un emballage suffisamment SOLIDE et tous les accessoires reçus doivent être retournés ensemble. Veuillez emballer soigneusement le produit pour vous protéger de tout litige.
5. Imprimez l'étiquette d'expédition sur le colis.
6. Vous pouvez livrer le colis à l'adresse suivante :1 rue de Lattre de Tassigny
88640 GRANGES AUMONTZEY France
Si cette adresse ne vous convient pas, vous pouvez consulter sur le site du transporteur la liste des points de livraison à proximité.
Une fois que nous recevons votre produit retourné et qu'il répond aux exigences, nous vous enverrons le remplacement dans les 48 heures ouvrables.
Nous nous excusons à nouveau pour la gêne occasionnée et vous remercions de votre compréhension.
Attendre une réponse! Envoyé à partir de Outlook pour Android<[link removed]>________________________________From: ECOMMUNITY - Marketplace dAmazon.fr <[adresse électronique supprimée]>Sent: Saturday, June 10, 2023 3:49:43 AMTo: [adresse électronique supprimée] <[adresse électronique supprimée]>Subject: Article endommagé ou défectueux : Demander un article de remplacement(Commande : 402-8767541-1183505)Vous avez reçu un message de la part du vendeur Amazon — ECOMMUNITYNuméro de la commande: 402-8767541-1183505Total   Nom du produit et ASIN1       [product image]         Apple iPhone 11 Pro 256Go Vert Nuit (Reconditionné)ASIN: B082DJNRLDCher client,Veuillez nous envoyer les photos de lappareil pour vous protéger de tout litige, écran de photos allumé et éteint et couverture arrière avant expédition. Veuillez trouver létiquette dexpédition gratuite ci-jointe.Veuillez suivre attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner lappareil.1. Désactivez CODE LOCK si votre appareil en possède un ou notez-le sur une feuille de papier et mettez-le dans la boîte.2. DISSOCIEZ votre compte ICLOUD. Si un compte iCloud est connecté sur le téléphone renvoyé, cela ralentira votre processus dassistance. Si vous ne parvenez pas à vous déconnecter du compte iCloud, veuillez nous en informer.3. Enregistrez vos données et retirez la carte SIM.4. Ensuite, vous pouvez emballer le produit. Utilisez un emballage suffisamment SOLIDE et tous les accessoires reçus doivent être retournés ensemble. Veuillez emballer soigneusement le produit pour vous protéger de tout litige.5. Imprimez létiquette dexpédition sur le colis.6. Vous pouvez livrer le colis à ladresse suivante :1 rue de Lattre de Tassigny88640 GRANGES AUMONTZEY FranceSi cette adresse ne vous convient pas, vous pouvez consulter sur le site du transporteur la liste des points de livraison à proximité.Une fois que nous recevons votre produit retourné et quil répond aux exigences, nous vous enverrons le remplacement dans les 48 heures ouvrables.Nous nous excusons à nouveau pour la gêne occasionnée et vous remercions de votre compréhension.Attendre une réponse!Ceci a-t-il résolu votre problème?Droits dauteur 2023 Amazon, Inc. ou ses filiales. Tous droits réservés. Amazon Services Europe S.à r.l.5 Rue PlaetisL-2338 LuxembourgEnregistré au Luxembourg sous la référence B-93815Capital Social 12.500 EURNuméro d’autorisation détablissement: 100416Numéro d’identification à TVA luxembourgeoise : LU 19647148Important : Lorsque vous répondez à ce message, Amazon.fr remplace votre adresse électronique par une adresse fournie par Amazon.fr, ce afin de protéger votre identité, et transmet ce message de votre part. Amazon.fr filtre tous les messages avant de les transmettre au vendeur pour identifier des fraudes potentielles. Les messages bloqués par ce filtre ne sont pas transmis. Amazon.fr garde une copie de tous les courriels envoyés et reçus par le biais de ce service, y compris ce message, qui pourront être utilisés en particulier dans le cadre de demande de Garantie A à Z. En utilisant ce service, vous acceptez ces conditions.[commMgrTok:A050891934A4NKLLGC6S9]","Cher client,Merci pour vos informations! Une fois que vous avez expédié le téléphone, veuillez nous le faire savoir."
"daccord je le renvoi aujourdhui ","Cher client, Merci pour vos informations ! Nous suivrons le colis et vous informerons dès que nous le recevrons. À bientôt ! Chaleureusement🌷"
"Le colis à été déposé hier. Comment va se passer la procédure de remboursement ensuite ? Merci  ","Cher client,Nous vous rembourserons après réception sans problème. A bientôt !"
"daccord le colis retour devrais être livré aujourdhui !","Cher client,Jespère que tu vas bien aujourdhui ! Selon la logistique, le colis a été livré. Nous vérifierons auprès de notre entrepôt et vous proposerons une solution dans les 48 heures ouvrables. À très bientôt!"
"Bonjour je souhaites le remboursement. ","Cher client,Noté avec merci ! Nous allons nous en occuper aujourdhui !🌷Cher client, Nous comprenons parfaitement. Nous avons donc remboursé cette commande via Amazon. Vous recevrez largent dans les 72 heures ouvrables. Nous sommes très désolés pour le dérangement. Nous sommes toujours les bienvenus pour votre prochain achat. Acclamations"
"Bonjour, Après moins de 6 mois dutilisation, le téléphone ne charge plus et ne sallume plus. Je souhaite un retour et un remboursement sil vous plait.Cordialement, Céline SAVARY","Cher client,Nous nous excusons pour tout inconvénient. Ne vous inquiétez pas, nous pouvons vous proposer un nouveau remplacement après réception. Veuillez nous envoyer les informations suivantes :1. Photos de lappareil pour vous protéger de tout litige, écran de photos et couverture arrière.Et veuillez confirmer soigneusement si le téléphone a subi une chute/pression/infiltration deau ou des dommages similaires.2. Veuillez confirmer votre adresse de livraison comme ci-dessous afin que nous puissions générer une étiquette de retour gratuite pour vous et vous guider dans le retour du produit défectueux. Merci et jattends votre réponse. CordialementCAMPING PRE FIXE - SARL VIALA C--285, Chemin du Chateau dEau31420 Cassagnabere Tournas, France0633115619"
"Bonjour,
Le téléphone n'a subi aucun dommage (pas de chûte, de pression ou d'infiltration d'eau) et est en parfait état comme vous pourrez le voir sur les photos. L'adresse de livraison est exacte pour l'étiquette de retour. ","Cher client,Veuillez trouver létiquette dexpédition gratuite ci-jointe.Suivez attentivement ces instructions, et si ces instructions ne sont pas suivies, nous devrons vous retourner lappareil.1. Désactivez le LOCK CODE si votre appareil en possède un ou notez-le sur une feuille de papier et mettez-le dans la boîte.2. DÉCONNECTEZ votre compte ICLOUD. Si un compte iCloud est connecté au téléphone renvoyé, cela ralentira votre processus dassistance.3. Enregistrez vos données et retirez la carte SIM.4. Ensuite, vous pouvez emballer le produit. Veuillez utiliser un emballage suffisamment solide et tous les accessoires reçus doivent être retournés ensemble. Emballez soigneusement le produit afin de vous protéger dun éventuel litige.5. Imprimez létiquette dexpédition sur le colis.6. Vous pouvez livrer le colis à ladresse suivante :RUE DE LA POSTE31420 AURIGNAC FranceSi cette adresse ne vous convient pas, vous pouvez consulter le site Web du transporteur pour obtenir une liste des points de livraison à proximité.Une fois que nous aurons reçu le produit retourné et quil sera conforme, nous vous renverrons le produit de remplacement sous 48h ouvrées.Nous nous excusons à nouveau pour la gêne occasionnée et vous remercions de votre compréhension.En attente de réponse!Cher client,Veuillez supprimer votre compte iCloud avant lexpédition. Vous pouvez le supprimer avec la méthode à distance ci-dessous ou nous ne pouvons pas suivre.Suivez les instructions pour vous déconnecter de votre compte iCloud avec un ordinateur portable ou un ordinateur. Vous navez pas besoin davoir un téléphone, vous avez juste besoin dutiliser un ordinateur ou un ordinateur portable.1. Allez sur la page : https://www.icloud.com/https://sellercentral-europe.amazon.com/nms/redirect/7720319f-5bf6-34ea-b722-e845f76be2aa?nt=BBC_MESSAGE_CONFIRMATION_TO_MERCHANT&sk=8TtvimJi65nDF9LlHWXiBrl-fnC1vKeRhUiSUkj4zKZj49ih3v3zlzprBl6phDUAIgoBaZzJxvhA0UZ5NH5WyA&n=1&u=aHR0cHM6Ly93d3cuaWNsb3VkLmNvbS8 et connectez-vous au compte iCloud auquel votre appareil était connecté.2. Si lauthentification à deux facteurs est activée, vous devriez recevoir un code de vérification sur vos appareils de confiance. Si ce nest pas le cas, insérez la carte SIM dans un nouvel appareil et cliquez sur ""Na pas reçu de code ?"" puis ""Envoyez-moi un SMS"". 3. Cliquez sur ""Rechercher"". Si vous ne voyez pas lapplication ""Rechercher"", cela signifie que vous nêtes pas connecté au bon compte iCloud ; vérifiez quil sagit bien de lidentifiant Apple utilisé pour votre appareil.4. Cliquez sur ""Tous mes appareils"" en haut de la fenêtre. Si vous ne voyez pas ""Tous mes appareils"", cela signifie que vous avez déjà sélectionné un appareil. Cliquez sur le nom de lappareil actuel au centre de la barre doutils pour accéder à la liste des appareils, puis sélectionnez un autre appareil.5. Sélectionnez lappareil Apple que vous souhaitez déconnecter, il doit être hors ligne (avec un point gris à gauche). Un appareil est considéré hors ligne sil est éteint ou déconnecté de tout réseau Internet.6. Cliquez sur ""Supprimer du compte"". Si vous ne voyez pas le bouton ""Supprimer du compte"", assurez-vous de déconnecter lappareil (éteignez-le).7. Apple vous demande de confirmer la suppression de lappareil. Cliquez sur ""Supprimer"". Enfin, Apple vous demande de saisir le mot de passe pour valider la suppression. Entrez votre mot de passe et cliquez sur ""Supprimer"". De cette façon, vous vous déconnecterez avec succès de votre compte iCloud sur lappareil. Merci beaucoup pour ton aide."
